Unnamed: 0_x,station,总流量,高峰流量,平峰流量,Unnamed: 0.1,treat,count,车相关,商务住宅,生活服务,购物服务,餐饮服务,科教文化服务,公共设施,政府机构及社会团体,体育休闲服务,医疗保健服务,风景名胜,金融保险服务,住宿服务,Unnamed: 0_y,pop
22920,2018_金稻田路口,23132.0,11704.0,11428.0,30.0,True,293.0,18.0,40.0,22.0,36.0,51.0,35.0,93.0,8.0,2.0,7.0,2.0,6.0,3.0,30,37451.0
22921,2018_金穗花园,274.0,174.0,100.0,3929.0,False,133.0,26.0,23.0,3.0,14.0,2.0,7.0,80.0,4.0,0.0,0.0,0.0,0.0,2.0,3958,6232.0
22922,2018_金穗西路口,52.0,26.0,26.0,3088.0,False,130.0,10.0,40.0,3.0,4.0,5.0,5.0,96.0,5.0,0.0,2.0,0.0,0.0,1.0,3117,9932.0
22923,2018_金联兴电子厂,2.0,2.0,0.0,5477.0,False,61.0,0.0,35.0,1.0,4.0,2.0,1.0,18.0,1.0,3.0,1.0,0.0,0.0,2.0,5619,3564.0
22924,2018_金荣达工业园,28462.0,16154.0,12308.0,1282.0,False,437.0,12.0,34.0,28.0,123.0,64.0,16.0,121.0,3.0,21.0,15.0,0.0,17.0,23.0,1294,3156.0
22925,2018_金蓢路,692.0,412.0,280.0,4083.0,False,300.0,10.0,36.0,30.0,62.0,32.0,8.0,95.0,9.0,16.0,16.0,4.0,15.0,6.0,4112,4981.0
22926,2018_金融路口,2106.0,1170.0,936.0,786.0,False,1400.0,16.0,116.0,134.0,323.0,134.0,45.0,358.0,82.0,26.0,34.0,5.0,31.0,9.0,785,860.0
22927,2018_金豪创业园,160.0,82.0,78.0,3880.0,False,101.0,0.0,53.0,3.0,2.0,10.0,0.0,35.0,2.0,0.0,3.0,0.0,3.0,3.0,3909,2063.0
22928,2018_金辉路总站,218.0,158.0,60.0,4655.0,False,164.0,2.0,24.0,12.0,20.0,30.0,1.0,68.0,0.0,0.0,3.0,0.0,0.0,3.0,4757,362.0
22929,2018_金达花园,6578.0,3960.0,2618.0,5005.0,True,212.0,28.0,21.0,31.0,28.0,14.0,10.0,75.0,10.0,1.0,8.0,3.0,4.0,2.0,5134,11080.0
22930,2018_金银坑,19278.0,10462.0,8816.0,128.0,True,211.0,58.0,26.0,84.0,20.0,5.0,0.0,16.0,9.0,2.0,4.0,0.0,3.0,4.0,128,4693.0
22931,2018_金鼎盛工业园,18066.0,10478.0,7588.0,1281.0,False,417.0,34.0,107.0,17.0,52.0,31.0,26.0,194.0,12.0,8.0,11.0,3.0,18.0,0.0,1293,11739.0
22932,2018_金龙华广场,33588.0,18546.0,15042.0,1250.0,False,84.0,2.0,10.0,14.0,26.0,9.0,1.0,16.0,2.0,1.0,2.0,1.0,0.0,3.0,1262,18620.0
