treat,总流量,高峰流量,平均乘距,生活类,休闲类,文化类,商务类,设施类,人口
False,2774.0,1644.0,1789.7362636440446,3.0,5.0,1.0,8.0,16.0,2875.0
False,3838.0,2134.0,3111.727086929251,76.0,203.0,18.0,36.0,12.0,6820.0
False,848.0,442.0,2359.8847261144333,30.0,82.0,11.0,12.0,0.0,2072.0
False,13188.0,6280.0,4969.781113589992,149.0,217.0,31.0,87.0,112.0,15244.0
True,10872.0,5266.0,4148.943037717557,193.0,346.0,52.0,83.0,86.0,5891.0
False,4916.0,2682.0,4602.483689077094,4.0,1.0,0.0,1.0,6.0,5792.0
False,7262.0,4076.0,3450.373059223491,7.0,22.0,2.0,3.0,6.0,9036.0
False,9306.0,5404.0,2752.6462545872573,0.0,0.0,0.0,2.0,0.0,7837.0
False,4014.0,2010.0,10880.280429228002,40.0,72.0,24.0,45.0,56.0,5622.0
True,1490.0,760.0,16196.034706309618,84.0,133.0,36.0,45.0,46.0,8565.0
True,5384.0,2706.0,8660.081273075288,146.0,237.0,51.0,45.0,62.0,10794.0
True,1450.0,748.0,5357.921241460275,288.0,812.0,78.0,117.0,108.0,16102.0
True,12848.0,6934.0,4686.844337713209,107.0,202.0,11.0,43.0,28.0,8522.0
False,47272.0,25372.0,8547.58395343179,128.0,619.0,23.0,24.0,30.0,15986.0
False,40732.0,22228.0,3387.019991124713,251.0,879.0,39.0,90.0,76.0,6487.0
False,550.0,320.0,7215.117888903333,0.0,0.0,0.0,0.0,0.0,296.0
True,1162.0,590.0,11093.923826811342,101.0,114.0,23.0,68.0,88.0,128.0
True,3324.0,1920.0,4721.110661592451,128.0,81.0,37.0,77.0,68.0,155.0
False,2002.0,1094.0,1773.9023099208373,5.0,17.0,2.0,14.0,4.0,2178.0
False,244.0,120.0,1539.1406023974937,29.0,50.0,2.0,10.0,6.0,4165.0
True,1634.0,990.0,1965.00655883525,17.0,62.0,4.0,10.0,22.0,2187.0
False,1048.0,574.0,8212.110935372857,39.0,134.0,10.0,17.0,8.0,5586.0
False,2916.0,1478.0,8359.406351481435,24.0,78.0,7.0,13.0,8.0,2517.0
False,33138.0,18608.0,4285.364876736452,76.0,167.0,9.0,23.0,4.0,5628.0
False,4100.0,2362.0,2926.573206544158,72.0,175.0,9.0,25.0,18.0,4327.0
True,8716.0,4936.0,1322.5451542135938,240.0,254.0,20.0,40.0,44.0,6360.0
False,1264.0,758.0,2101.921035069681,18.0,31.0,0.0,11.0,6.0,6518.0
False,8618.0,5130.0,1948.1760283748024,8.0,20.0,4.0,3.0,14.0,4959.0
False,3028.0,1524.0,1635.9303087417618,0.0,0.0,0.0,4.0,4.0,8323.0
False,200.0,122.0,1064.3592128704545,31.0,60.0,7.0,5.0,16.0,1949.0
True,16.0,10.0,9353.022889591744,233.0,529.0,29.0,115.0,58.0,6343.0
True,606.0,364.0,5429.999608642451,240.0,513.0,29.0,112.0,48.0,5475.0
False,8532.0,4856.0,4446.801183780909,33.0,109.0,3.0,31.0,16.0,8202.0
False,31862.0,16630.0,4302.34579709782,224.0,544.0,51.0,75.0,92.0,13434.0
False,17066.0,8738.0,7221.192030559064,200.0,480.0,70.0,121.0,106.0,8167.0
False,4628.0,2466.0,10303.871882854652,77.0,144.0,32.0,69.0,70.0,7575.0
False,1416.0,758.0,1765.8885963191856,42.0,146.0,18.0,39.0,30.0,629.0
False,656.0,354.0,1642.4451220170886,29.0,55.0,2.0,10.0,6.0,6066.0
False,34.0,12.0,901.6923622401292,40.0,47.0,3.0,11.0,2.0,5144.0
False,1302.0,730.0,6883.475345403712,159.0,505.0,34.0,44.0,34.0,5244.0
False,7648.0,4284.0,2807.1165150354063,110.0,329.0,13.0,37.0,26.0,3565.0
False,144.0,94.0,1392.70470388246,32.0,68.0,3.0,12.0,2.0,4786.0
True,33344.0,17650.0,8463.464756696114,157.0,363.0,72.0,52.0,40.0,4218.0
True,2314.0,1406.0,3344.8626309307147,302.0,718.0,41.0,62.0,52.0,4695.0
False,340.0,198.0,2046.465481039474,16.0,43.0,2.0,9.0,2.0,8148.0
False,19882.0,11368.0,2810.891178685056,110.0,253.0,25.0,45.0,40.0,2922.0
False,518.0,308.0,1351.3322716312168,110.0,253.0,25.0,45.0,40.0,2922.0
True,26352.0,13424.0,4312.921540878551,26.0,307.0,13.0,51.0,48.0,11766.0
True,7634.0,3994.0,1724.0255774618354,110.0,286.0,16.0,23.0,22.0,7365.0
False,4.0,2.0,3665.385186850536,20.0,27.0,1.0,48.0,6.0,5185.0
False,26572.0,12566.0,2009.0213019499915,22.0,212.0,8.0,17.0,18.0,22341.0
False,1592.0,996.0,2181.3338782125907,21.0,22.0,6.0,7.0,8.0,3133.0
