Unnamed: 0_x,station,总流量,高峰流量,平峰流量,Unnamed: 0.1,treat,count,车相关,商务住宅,生活服务,购物服务,餐饮服务,科教文化服务,公共设施,政府机构及社会团体,体育休闲服务,医疗保健服务,风景名胜,金融保险服务,住宿服务,Unnamed: 0_y,pop,站点,平均乘距,year,station_name,cos_theta,cos_abs
83,2015_三联桥头,2906.0,1612.0,1294.0,7415.0,False,476.0,76.0,28.0,46.0,220.0,35.0,12.0,44.0,4.0,6.0,12.0,0.0,6.0,2.0,7688,9118.0,2015_三联桥头,8426.394482363978,2015,三联桥头,0.040055615496056345,0.040055615496056345
87,2015_上下横岗,194.0,76.0,118.0,2822.0,False,27.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,19.0,2851,244.0,2015_上下横岗,3127.563112956993,2015,上下横岗,0.3622948024808623,0.3622948024808623
88,2015_上井村社区,706.0,422.0,284.0,5232.0,False,44.0,0.0,12.0,2.0,1.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0,5360,1719.0,2015_上井村社区,2144.6216586222204,2015,上井村社区,0.7346288576815829,0.7346288576815829
92,2015_上南路口,28.0,18.0,10.0,2548.0,False,219.0,14.0,4.0,43.0,83.0,46.0,2.0,10.0,1.0,3.0,4.0,0.0,4.0,5.0,2589,2623.0,2015_上南路口,830.8702730385908,2015,上南路口,-0.004140570438174373,0.004140570438174373
94,2015_上合市场,21232.0,11702.0,9530.0,4992.0,False,577.0,130.0,37.0,67.0,192.0,73.0,18.0,58.0,16.0,6.0,19.0,0.0,9.0,4.0,5121,1354.0,2015_上合市场,2986.7440573022936,2015,上合市场,-0.18665935229336533,0.18665935229336533
96,2015_上合新村,14474.0,7464.0,7010.0,2026.0,False,240.0,12.0,15.0,35.0,74.0,38.0,10.0,30.0,6.0,2.0,5.0,3.0,5.0,3.0,2053,823.0,2015_上合新村,1245.6022407635082,2015,上合新村,-0.8482875631935306,0.8482875631935306
98,2015_上围园,5084.0,2840.0,2244.0,4984.0,False,370.0,18.0,11.0,50.0,145.0,97.0,6.0,8.0,1.0,6.0,14.0,0.0,3.0,11.0,5113,7504.0,2015_上围园,2082.064133126359,2015,上围园,0.7971316486370366,0.7971316486370366
100,2015_上围新村,5106.0,2898.0,2208.0,1758.0,False,361.0,6.0,13.0,54.0,130.0,60.0,5.0,10.0,4.0,9.0,5.0,0.0,4.0,2.0,1770,3533.0,2015_上围新村,5015.061861192096,2015,上围新村,0.8097664717687614,0.8097664717687614
109,2015_上塘社区,5154.0,2960.0,2194.0,8295.0,False,1059.0,24.0,71.0,115.0,325.0,140.0,8.0,48.0,12.0,12.0,32.0,1.0,9.0,17.0,8568,3352.0,2015_上塘社区,1920.544438159231,2015,上塘社区,0.7042862273741977,0.7042862273741977
111,2015_上寮,1824.0,944.0,880.0,1569.0,False,1109.0,20.0,5.0,101.0,563.0,113.0,15.0,8.0,6.0,15.0,31.0,0.0,7.0,38.0,1581,11698.0,2015_上寮,4660.345341040772,2015,上寮,0.8450258956681714,0.8450258956681714
112,2015_上寮市场,28664.0,15532.0,13132.0,1538.0,False,1012.0,20.0,8.0,39.0,822.0,70.0,6.0,32.0,4.0,7.0,7.0,1.0,6.0,1.0,1550,8539.0,2015_上寮市场,7544.949533883425,2015,上寮市场,0.9391723879272291,0.9391723879272291
113,2015_上屋小学,3026.0,1694.0,1332.0,2520.0,False,178.0,6.0,4.0,30.0,65.0,36.0,6.0,20.0,1.0,3.0,4.0,0.0,2.0,2.0,2561,2124.0,2015_上屋小学,2000.1988747185887,2015,上屋小学,0.7567862860713548,0.7567862860713548
114,2015_上屋社区,788.0,472.0,316.0,2517.0,False,546.0,8.0,4.0,43.0,207.0,63.0,20.0,14.0,10.0,12.0,18.0,1.0,2.0,11.0,2558,2939.0,2015_上屋社区,1463.7011666565709,2015,上屋社区,-0.05528409934387459,0.05528409934387459
115,2015_上岭排新村,1278.0,746.0,532.0,3737.0,False,523.0,8.0,55.0,32.0,107.0,49.0,7.0,16.0,0.0,11.0,11.0,1.0,4.0,1.0,3766,5874.0,2015_上岭排新村,1699.8316636557402,2015,上岭排新村,0.16606722623003553,0.16606722623003553
120,2015_上排村口,1844.0,1332.0,512.0,1308.0,False,55.0,6.0,4.0,6.0,18.0,9.0,0.0,6.0,5.0,1.0,0.0,0.0,0.0,1.0,1320,4452.0,2015_上排村口,1130.989492438618,2015,上排村口,-0.40494099634174335,0.40494099634174335
121,2015_上排路口,432.0,212.0,220.0,2518.0,False,914.0,8.0,1.0,86.0,233.0,118.0,6.0,6.0,4.0,13.0,23.0,0.0,5.0,13.0,2559,4398.0,2015_上排路口,1995.8709873889009,2015,上排路口,0.642268635467586,0.642268635467586
122,2015_上早新村,2544.0,1604.0,940.0,3739.0,False,409.0,72.0,82.0,39.0,122.0,36.0,7.0,66.0,14.0,5.0,3.0,0.0,4.0,4.0,3768,11977.0,2015_上早新村,1323.542683595498,2015,上早新村,0.2850695123876653,0.2850695123876653
123,2015_上星中心公园,13034.0,6816.0,6218.0,8166.0,False,132.0,4.0,2.0,26.0,65.0,12.0,6.0,12.0,0.0,0.0,7.0,0.0,4.0,0.0,8439,4438.0,2015_上星中心公园,2920.5710221320023,2015,上星中心公园,0.40259339312981657,0.40259339312981657
124,2015_上星村委,31256.0,17176.0,14080.0,2307.0,False,409.0,4.0,25.0,45.0,155.0,56.0,9.0,36.0,4.0,20.0,10.0,5.0,35.0,9.0,2349,7823.0,2015_上星村委,5300.833681249518,2015,上星村委,0.987809698316109,0.987809698316109
125,2015_上木古村,37492.0,20276.0,17216.0,1402.0,False,24.0,0.0,7.0,0.0,2.0,2.0,4.0,4.0,2.0,0.0,0.0,1.0,0.0,0.0,1414,6425.0,2015_上木古村,2664.8225691057214,2015,上木古村,-0.930153944692941,0.930153944692941
